pharmacy_id,name,brand,address,latitude,longitude,source
ChIJwbRTbABt2jERS_SmqykONuo,"CARiNG Pharmacy | Taman Pelangi, Johor Bahru",Caring,"47, Jalan Perang, Taman Pelangi, 80400 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.4820668,103.7742795,google_places
ChIJyYuXmClz2jERMKfRcGAUmW4,"CARiNG Pharmacy | Taman Perling, Johor Bahru",Caring,"274, Jalan Simbang, Taman Perling, 81200 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.4835155999999998,103.6800588,google_places
ChIJk3Cj_UFu2jERLzsOl4IIt6Y,"CARiNG Pharmacy | Taman Setia Indah, Johor Bahru",Caring,"28, Jalan Setia 3/6, Taman Setia Indah, 81100 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.5716141,103.7575079,google_places
ChIJdTAEjiVt2jERDHv4ubiBgKs,"CARiNG Pharmacy | Taman Sri Tebrau, Johor Bahru",Caring,"9, Jalan Keris, Taman Sri Tebrau, 80050 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.4872287,103.7676813,google_places
ChIJwfjPZZtF0DERV5mApn1Ce5U,"CARiNG Pharmacy | Taman Sutera, Yong Peng",Caring,"16, Jalan Sutera, Taman Sutera, 83700 Yong Peng, Johor Darul Ta'zim, Malaysia",2.009881,103.0704946,google_places
ChIJNRmLpTtv0DERZWMgeqKbO-s,"CARiNG Pharmacy | Taman Tasik Indah, Kluang",Caring,"No. 130, Tingkat Bawah, Jalan Tasik Indah 1/4, Taman, Persiaran Tasik Indah, Taman Tasik Indah, 86000 Kluang, Johor Darul Ta'zim, Malaysia",1.9942926,103.2955897,google_places
ChIJET4B-k9v2jERf_O6sPKmB9s,"CARiNG Pharmacy | Toppen Shopping Centre, Johor Bahru",Caring,"L2.111, Level 2, Kompleks Toppen No, 33A, Jln Harmonium, Taman Desa Tebrau, 81100 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.5527064,103.7974081,google_places
ChIJb4TyqvvTzzERcPhzQhu5ccE,"CARiNG Pharmacy | Wisma Centrepoint, Segamat",Caring,"149, G Floor, Wisma Centrepoint, Jalan Dato, Jalan Sia Her Yam, Kampung Abdullah, 85000 Segamat, Johor Darul Ta'zim, Malaysia",2.5039999,102.822687,google_places
ChIJLVGYNFB42jERtGy9rf14-gI,Charles & Kristin Masaya,Other,"4648, Jalan Sri Putri 5/5, Taman Putri Kulai, 81000 Kulai, Johor Darul Ta'zim, Malaysia",1.6584930999999998,103.5811944,google_places
ChIJQWZAwnW30TERKXcKyO0I1GU,Chem City Pharmacy (Bukit Bakri),Other,"3, Jalan Sinar Bakri 1, Pusat Perniagaan Sinar Bakri, Taman Bakri Indah, 84200 Muar, Johor, Malaysia",2.0414642,102.6566828,google_places
