pharmacy_id,name,address,state,postcode,brand,source,latitude,longitude,geocode_source
WATeabb9f4c8b,Watsons Aeon Shah Alam,"WATSONS AEON SHAH ALAM, LOT S41&S42 2ND FLOORAEON MALL SHAH ALAM JALAN AKUATIK 13/64 SEKSYEN 13 . 40100 Shah Alam Selangor",Selangor,40100,Watsons,Watsons,3.0762664,101.5470457,full
WAT01c0f4ca1d,Watsons Aeon Taman Equine,"WATSONS AEON TAMAN EQUINE, G45 GROUND FLOOR AEON EQUINE SHOPPING CENTER NO.2 JALAN EQUINE TAMAN EQUINE BANDAR PUTRA PERMAI SERI KEMBANGAN 43300 Petaling Selangor",Selangor,43300,Watsons,Watsons,2.9953128,101.6752131,full
WATdb7da11bb1,Watsons Aeon Taman Maluri,"WATSONS AEON TAMAN MALURI, LOT FOS 1ST FLOOR AEON . MALL TAMAN MALURI JALAN JEJAKA TAMAN MALURI . 55100 Cheras Kuala Lumpur",Kuala Lumpur,55100,Watsons,Watsons,3.1251887,101.7281593,full
WAT788d8f63dc,Watsons Aeon Tebrau City,"WATSONS AEON TEBRAU CITY, LOT S52 2ND FLOOR AEON TEBRAU CITY SHOPPING CENTRE NO. 1 JLN DESA TEBRAU TMN DESA TEBRAU . 81100 Johor Bahru Johor",Johor,81100,Watsons,Watsons,1.5499415,103.7956572,full
WAT4cbb45379e,Watsons Aeon Tmn University,"WATSONS AEON TMN UNIVERSITY,LG 28 & LG 29 TAMAN UNIVERSITY SHOPPING CENTRE JALAN PENDIDIKAN 1 TAMAN UNIVERSITY . 81300 Skudai Johor",Johor,81300,Watsons,Watsons,1.5426373,103.6291412,full
WAT0034576173,Watsons Aeroville Mall,"WATSON'S AEROVILLE MALL,L1A3-LOT1,2&3A,AEROVILLE MALL,LOT 19923 BLK 11 MUARA TEBAS LAND DISTRICT,JALAN STUTONG BARU, . 93350 Kuching Sarawak",Sarawak,93350,Watsons,Watsons,1.4968283,110.3717632,full
WAT64fe3fd1f5,Watsons Aiman Mall,"WATSONS AIMAN MALL, UNIT NO.G43 G44 G49 G50 G51&G52 AIMAN MALL LOT 125 BLK 26 MLTD JALAN DATO' MOHD MUSA KOTA SAMARAHAN . 94300 Kuching Sarawak",Sarawak,94300,Watsons,Watsons,1.4554246,110.4459509,full
WATefa567c877,Watsons Alam Budiman,"WATSONS ALAM BUDIMAN, LOT NO.33-G&35-G JALAN PULAU LUMUT Q UIO/Q ALAM BUDIMAN SEKSYEN U10 . 40170 Shah Alam Selangor",Selangor,40170,Watsons,Watsons,3.144495,101.481523,full
WAT26e1d0bf3b,Watsons Alamanda,"WATSONS ALAMANDA, LOT LG 24 LOWER GROUND FLOOR ALAMANDA PUTRAJAYA SHOPPING CENTRE JALAN ALAMANDA PRECINT 1. 62100 Putrajaya Putrajaya",Putrajaya,62100,Watsons,Watsons,2.9393596,101.7110372,full
WATa6883afccc,Watsons All Seasons Place,"WATSONS ALL SEASONS PLACE,66-1-13A(1)&6G-1-15,LEVEL 'ALL SEASONS PLACE,LEBUH RAYA THEAN TEIK, . 11500 Air Itam Pulau Pinang",Pulau Pinang,11500,Watsons,Watsons,5.3957147,100.2898624,full
WAT6f6e877082,Watsons Alor Star Mall,"WATSONS ALOR STAR MALL, NO. G29A, GROUND FLOOR, ALOR SETAR MALL, 05400 ALOR SETAR.KEDAH . 05400 Alor Setar Kedah",Kedah,5400,Watsons,Watsons,6.0813012,100.3608522,full
WAT26bf3e537a,Watsons Aman Central,"WATSONS AMAN CENTRAL, LOT 1-33A & 35 1ST FLOOR NO.1 AMAN CENTRAL LEBUHRAYA DARUL AMAN . 05100 Alor Setar Kedah",Kedah,5100,Watsons,Watsons,6.125468,100.3667714,full
WAT0060ec578b,Watsons Aman Suria,"WATSONS AMAN SURIA, BG6 GROUND FLOOR JALAN PIU 1/43 AMAN SURIA . 47301 Petaling Jaya Selangor",Selangor,47301,Watsons,Watsons,3.121889,101.595182,full
WAT72c30065eb,Watsons Amanjaya Mall,"WATSONS AMANJAYA MALL, LOT F22 FIRST FLOOR AMANJAYA MALL . 08000 Sungai Petani Kedah",Kedah,8000,Watsons,Watsons,5.6738767,100.5093018,full
WAT7585b2b1b1,Watsons Amcorp Mall,"WATSONS AMCORP MALL,L1-71 1ST FLOOR AMCORP MALL NO 18 PERSIARAN BARAT OFF JALAN TIMUR . 46000 Petaling Jaya Selangor",Selangor,46000,Watsons,Watsons,3.1049435,101.6469741,full
WATccd08a5415,Watsons Amerin Mall,"WATSONS AMERIN MALL, LOT G-15 GROUND FLOOR AMERIN f MALL TAMAN IMPIAN INDAH . 43300 Seri Kembangan Selangor",Selangor,43300,Watsons,Watsons,3.0250746,101.7509773,full
WATb295c5116d,Watsons Ampang Point Shopping,"WATSONS AMPANG POINT SHOPPING, LOT M25 M FLOOR AMPANG POINT SHOPPING CENTRE JALAN MAMANDA 3 . 68000 Ampang Kuala Lumpur",Kuala Lumpur,68000,Watsons,Watsons,3.1577331,101.7512161,full
WAT58f3f507dd,Watsons Anggun City Rawang,"WATSON'S ANGGUN CITY RAWANG.NO.2.PERSIARAN ANGGUN CITY,PUSAT KOMERSIAL ANGGUN CITY,TAMAN ANGGUN, . 48000 Rawang Selangor",Selangor,48000,Watsons,Watsons,3.317317,101.5379968,full
WAT82656ea89b,Watsons Angsana Ipoh Mall,"WATSONS ANGSANA IPOH MALL, LOT G07 GROUND FLOOR ANGSANA IPOH MALL JALAN HOSPITAL . 30450 Ipoh Perak",Perak,30450,Watsons,Watsons,4.602903599999999,101.0950356,full
WATfb063f30a4,Watsons Anjung Iskandar,"WATSONS ANJUNG ISKANDAR, LOT R38 A GF ANJUNG NEIGHBOURHOOD CENTRE NO.5 PERSIARAN LEDANG HEIGHTS . 79250 Johor Bahru Johor",Johor,79250,Watsons,Watsons,1.4244089,103.6177616,full
WATfd9eccb902,Watsons Asia City Kk,"WATSONS ASIA CITY KK, NO.G32 GF STAR CITY NORTH JALAN ASIA CITY ASIA CITY PHIIA KOTA KINABALU . 88000 Kota Kinabalu Sabah",Sabah,88000,Watsons,Watsons,5.977123,116.072573,full
WATf1fff37b0d,Watsons Ativo Plaza,"WATSONS ATIVO PLAZA, B-1-10 ATIVO PLAZA JALAN PJU 9/1 DAMANSARA AVENUE BANDAR SRI DAMANSARA . 52200. Damansara Kuala Lumpur",Kuala Lumpur,52200,Watsons,Watsons,3.196303,101.6166106,full
WAT22bc765ff3,Watsons Atria Mall,"WATSON'S ATRIA MALL,C-05&C-06,CONCOURSE,JALAN SS. 22/23,DAMANSARA JAYA, . 74000 Petaling Jaya Selangor",Selangor,74000,Watsons,Watsons,3.1268353,101.6167606,full
WATc983fe280f,Watsons Austin Heights,"WATSONS AUSTIN HEIGHTS, 25 GROUND FLOOR JALAN AUSTIN HEIGHTS 3 TAMAN MOUNT AUSTIN . 81100 Johor Bahru Johor",Johor,81100,Watsons,Watsons,1.5600887,103.7805118,full
WAT95407cd4d3,Watsons Auto City,"WATSONS AUTO CITY, 1808 - 1809C JALAN PERUSAHAAN AUTO CITY PRAI . 13600 Perai Pulau Pinang",Pulau Pinang,13600,Watsons,Watsons,5.3384342,100.4291934,full
WAT0c28f75cf9,Watsons Avenue K,"WATSONS AVENUE K, M-12 LEVEL MEZZANING AVENUE K 156. JLN AMPANG . 50450 Ampang Kuala Lumpur",Kuala Lumpur,50450,Watsons,Watsons,3.1594767,101.713454,full
WATf6cb498276,Watsons Ayer Keroh Heights,"WATSONS AYER KEROH HEIGHTS, NO.4 & NO.6,GF JALAN KOMERSIAL TAKH 3 TAMAN AYER KEROH HEIGHTS AYER KEROH . 75450 Ayer Keroh Melaka",Melaka,75450,Watsons,Watsons,2.2543873,102.2906897,full
WAT9228d73f6b,Watsons Ayer Tawar,"WATSON'S AYER TAWAR.NO.384,JALAN SERI SENTOSA 4,TAMAN MEDAN SERI SENTOSA, . 32400 Ayer Tawar Perak",Perak,32400,Watsons,Watsons,4.2943352,100.7534786,full
WAT744821a41b,Watsons Bagan Serai,"WATSONS BAGAN SERAI, NO 6 GRD FLR JALAN HARMONI PUSAT BANDAR BAGAN SERAI . 34300 BAGAN SERAI Perak",Perak,34300,Watsons,Watsons,5.0132013,100.5351035,full
WATfd9d61bab9,Watsons Bahau,"WATSONS BAHAU, NO.37 JALAN BESAR . 72100 Bahau N.Sembilan",Negeri Sembilan,72100,Watsons,Watsons,2.8101753,102.4020133,full
WAT4328197f93,Watsons Balik Pulau,"WATSONS BALIK PULAU, NO.41 GF JALAN TUN SARDON PENANG . 11000 Balik Pulau Pulau Pinang",Pulau Pinang,11000,Watsons,Watsons,5.3512724,100.2387527,full
WAT35e060a1fd,Watsons Baling,"WATSONS BALING, LOT NO 16 JALAN SYED SHEIKH . 09100 Baling Kedah",Kedah,9100,Watsons,Watsons,5.6754982,100.9172983,full
WAT7b1e446bc8,Watsons Balok Sentral,"WATSON'S BALOK SENTRAL,A-25,A-27&A-29,GF,LORONG BALOK DARAT, . 26100 Kuantan Pahang",Pahang,26100,Watsons,Watsons,3.934358499999999,103.3662022,full
WATa06b90655d,Watsons Balung Tawau,"WATSONS BALUNG TAWAU, NO.20&21 GF BLOCK 3 TAMAN K SAWIT SG.BALUNG . 91000 Tawau Sabah",Sabah,91000,Watsons,Watsons,4.375065900000001,118.1079365,full
WAT5556468183,Watsons Bandar Baru Enstek,"WATSONS BANDAR BARU ENSTEK, NO. 29&30 GF JALAN TIMUR 6/1A TIMUR@ENSTEK BANDAR BARU ENSTEK . 71760. Nilai N.Sembilan",Negeri Sembilan,71760,Watsons,Watsons,2.7471301,101.7649457,full
WAT45e989b83e,Watsons Bandar Baru Nilai Pt 989389894,"WATSONS BANDAR BARU NILAI,PT 989389894,GF JALAN BBN PUTRA POINT.BANDAR BARU NILAI, . 71800 Nilai N.Sembilan",Negeri Sembilan,71800,Watsons,Watsons,2.8214663,101.7919921,full
WAT5cf8826d88,Watsons Bandar Bukit Raja Klang,"WATSONS BANDAR BUKIT RAJA, KLANG, NO.146-G, GROUND FLOOR, JALAN RODAT 2A/KUS, BANDAR BUKIT RAJA, 41050 KLANG . 41050 Klang Selangor",Selangor,41050,Watsons,Watsons,3.084113,101.4424623,full
WATb429e6c1be,Watsons Bandar Kajang,"WATSONS BANDAR KAJANG, NO. 41G GF JALANTUN ABDUL AZIZ BANDAR KAJANG . 43000 Kajang Selangor",Selangor,43000,Watsons,Watsons,2.9913065,101.7907081,full
WATe5037ea8e0,Watsons Bandar Perda,"WATSONS BANDAR PERDA, LOT 450 & 451 GROUND FLOOR 'JLN PERMATANG RAWA PUSAT DAGANGAN TRIANG BANDAR PERDA . 14000 Bukit Mertajam Pulau Pinang",Pulau Pinang,14000,Watsons,Watsons,5.365573299999999,100.4358665,full
WAT2840e629e8,Watsons Bandar Prima Sandakan,"WATSONS BANDAR PRIMA SANDAKAN, LOT 141142 & 143 GRD. ! FLR BLOCK 15 PRIMA SQUARE JALAN UTARA . 90000. Sandakan Sabah",Sabah,90000,Watsons,Watsons,5.8571877,118.074437,full
WATd35719ce42,Watsons Bandar Puteri Puchong,"WATSONS BANDAR PUTERI PUCHONG, NO 6 GROUND FLOOR JALAN PUTERI 1/2 BANDAR PUTERI PUCHONG . 47100 Puchong Selangor",Selangor,47100,Watsons,Watsons,3.0258868,101.6158892,full
WAT2f00140679,Watsons Bandar Rimbayu,"WATSON'S BANDAR RIMBAYU,NO.31-G&33-G,GF JALAN FLORA 2/2,BANDAR RIMBAYU, . 42500 Telok Pnglima Garang Selangor",Selangor,42500,Watsons,Watsons,2.9333682,101.5483855,full
WAT754b0110cb,Watsons Bandar Riyal,"WATSONS BANDAR RIYAL, SUBLOT 76 & 77 GROUND FLOOR MUARA TUANG LAND DISTRICT . 94300 Kota Samarahan 'Sarawak",Sarawak,94300,Watsons,Watsons,1.459522,110.490601,full
WAT43d451f1ea,Watsons Bandar Saujana Putra,"WATSONS BANDAR SAUJANA PUTRA, NO.38&:40,GF JALAN SPU 1 BANDAR SAUJANA PUTRA . 42610 Jenjarom Selangor",Selangor,42610,Watsons,Watsons,2.952027,101.5817074,full
WAT0166afce89,Watsons Bandar Seri Alam,"WATSONS BANDAR SERI ALAM, NO.2 GF JALAN SURIA 2 BANDAR BARU SERI ALAM . 81750 Masai Johor",Johor,81750,Watsons,Watsons,1.4939048,103.8737998,full
WAT090bcadb91,Watsons Bandar Seri Putra,"WATSONS BANDAR SERI PUTRA, NO. 63 GROUND FLOOR JALAN SERI PUTRA 1/4 BANDAR SERI PUTRA BANGI . 43000 Kajang Selangor",Selangor,43000,Watsons,Watsons,2.8854395,101.7909468,full
WATb398d93028,Watsons Bandar Sri Damansara,"WATSONS BANDAR SRI DAMANSARA, NO.39 G (GRN) JALAN TANJUNG SD 13/1 BANDAR SRI DAMANSARA . 52200 Kuala Lumpur Kuala Lumpur",Kuala Lumpur,52200,Watsons,Watsons,3.1868026,101.6058807,full
WAT2cf5cd78ce,Watsons Bandar Sri Perdana,"WATSONS BANDAR SRI PERDANA, LOT 274 GRN & 1ST FLOOR SRI PERDANA PHASE 3 JALAN SILAM . 91100 Lahad Datu Sabah",Sabah,91100,Watsons,Watsons,5.0255359,118.2943871,full
WAT0b6ee1234c,Watsons Bandar Sungai Long,"WATSONS BANDAR SUNGAI LONG, NO. 5 (GRD FLOOR) JLN SL 1/3 11% MILES JALAN CHERAS . 43000 Kajang Selangor",Selangor,43000,Watsons,Watsons,3.0405535,101.793464,full
WATe7bc39abba,Watsons Bandar Tasek Raja.Pts75&Pt576,"WATSON'S BANDAR TASEK RAJA.PTS75&PT576,GROUND FLOOR,BANDAR TASEK RAJA, . 17070 Pasir Mas Kelantan",Kelantan,17070,Watsons,Watsons,6.0474938,102.1393252,full
WATd9421247fa,Watsons Bangi Gateway,"WATSONS BANGI GATEWAY, ES GF BLOCK E5 BANGI GATEWAY HOPING COMPLEX . 43650 Bandar Baru Bangi Selangor",Selangor,43650,Watsons,Watsons,2.9336644,101.7655522,full
WAT52b7ba9c35,Watsons Bangsar Village Mall,"WATSONS BANGSAR VILLAGE MALL, LOT G16 GF BANGSAR VILLAGE JALAN TELAWI 1 BANGSAR BARU . 59100 Kuala Lumpur Kuala Lumpur",Kuala Lumpur,59100,Watsons,Watsons,3.1295458,101.6710758,full
WAT64e3b9ad27,Watsons Banting,"WATSONS BANTING, NO 298 JALAN SULTAN ABDUL SAMAD . 42700 Banting Selangor",Selangor,42700,Watsons,Watsons,2.8131134,101.5007292,full
WAT8b785c86b5,Watsons Banting 2,"WATSONS BANTING 2, NO. 1-G GF JALAN CEMERLANG 1 PUSAT PERDAGANGAN BANTING . 42700 Banting Selangor",Selangor,42700,Watsons,Watsons,2.8128025,101.5080184,full
WAT13fedb5420,Watsons Banting 3,"WATSON'S BANTING 3,NO-1138115,GROUND FLOOR.JALAN SULTAN ABDUL SAMAD, . 42700 Banting Selangor",Selangor,42700,Watsons,Watsons,2.8139369,101.5056372,full
WAT55b8ac3d13,Watsons Batu Berendam,"WATSON'S BATU BERENDAM,NO.41,GF JALAN BBP1,TAMAN BATU BERENDAM PUTRA, . 75350 Batu Berendam Melaka",Melaka,75350,Watsons,Watsons,2.2433553,102.2571913,full
WATa2b4a348b2,Watsons Batu Gajah,"WATSONS BATU GAJAH, LOT 11 GROUND FLOOR JALAN DEWANGSA . 31000 Batu Gajah Perak",Perak,31000,Watsons,Watsons,4.4729265,101.0404058,full
WATea2858b99e,Watsons Batu Gajah Perdana,"WATSON'S BATU GAJAH PERDANA.NO.32&33,GF PERSIARAN BG PERDANA 1,PUSAT KOMERSIAL BG PERDANA, . 31550 Pusing Perak",Perak,31550,Watsons,Watsons,4.4975049,101.0200703,full
WAT6547898d3a,Watsons Batu Kawah,"WATSONS BATU KAWAH, LOT D1-G-29 (D) GROUND FLOOR BATU KAWAH NEW TOWNSHIP BATU KAWAH ROAD . 93100 Kuching Sarawak",Sarawak,93100,Watsons,Watsons,1.5131517,110.3088818,full
WAT9206622c6b,Watsons Batu Pahat Mall,"WATSONS BATU PAHAT MALL, LOT G51 & G52 GROUND FLOOR BATU PAHAT MALL JALAN KLUANG . 83000 Batu Pahat Johor",Johor,83000,Watsons,Watsons,1.8638484,102.9620825,full
