mukim,district,state,population
PEKAN KUALA TEMBELING,Jerantut,Pahang,178
MUKIM PERETAK,Ulu Selangor,Selangor,1545
PEKAN SUNGAI PELEK,Sepang,Selangor,4735
MUKIM KUBANG PARIT,Kuala Terengganu,Terengganu,7962
PEKAN KUALA SUNGAI BARU,Alor Gajah,Malacca,421
MUKIM GONG PACHAT,Pasir Puteh,Kelantan,2535
MUKIM PARIT,Kota Bharu,Kelantan,4961
PEKAN SUNGAI KECIL ILLIR,Bandar Baharu,Kedah,932
MUKIM KUALA KRAI,Kuala Krai,Kelantan,549
MUKIM TUPAI,Larut dan Matang,Perak,39510
MUKIM SUNGAI ADAM,Perlis,Perlis,2159
MATANG LAND DISTRICT,Kuching,Sarawak,62649
MUKIM GELUGUR KEDAI,Kuala Terengganu,Terengganu,6571
MUKIM RAWANG,Gombak,Selangor,93180
PEKAN BAHAU,Jempol,Negeri Sembilan,6080
MIRI CONCESSION LAND DISTRICT,Miri,Sarawak,89244
MUKIM PAYA,Perlis,Perlis,7352
MUKIM LEGONG ULU,Rembau,Negeri Sembilan,565
MUKIM LUIT,Maran,Pahang,13780
APOH LAND DISTRICT,Marudi,Sarawak,1522
MUKIM BAKAR,Machang,Kelantan,6398
MUKIM KEMUMIN,Kota Bharu,Kelantan,13984
MUKIM LENGGONG,Hulu Perak,Perak,12357
MUKIM SUNGAI TIRAM,Johor Bahru,Johor,19067
MUKIM GUA,Lipis,Pahang,7963
PEKAN PONDOK TANJONG,Kerian,Perak,20
MUKIM UMBAI,Jasin,Malacca,10827
BANDAR SUNGAI BULOH,Gombak,Selangor,49516
MUKIM PULAU TIGA,Perak Tengah,Perak,4318
MUKIM AYER PUTEH,Pendang,Kedah,21557
PEKAN JENDARATA,Bagan Datuk,Perak,132
MUKIM GUA MUSANG,Gua Musang,Kelantan,251
MUKIM ALOR BAKAT,Bachok,Kelantan,4633
MUKIM SABAK,Sabak Bernam,Selangor,13324
MUKIM BELIMBING KANAN,Padang Terap,Kedah,6531
MUKIM LUNDANG,Kota Bharu,Kelantan,6984
PEKAN DONG,Raub,Pahang,330
PEKAN BUKIT TEMBAGA,Padang Terap,Kedah,1409
PEKAN RANTAU,Seremban,Negeri Sembilan,2532
BANDAR SELAMA,Selama,Perak,370
BAWAN LAND DISTRICT,Mukah,Sarawak,2541
MUKIM SEROM,Ledang,Johor,22703
KABONG TOWN DISTRICT,Kabong,Sarawak,1431
RIRONG LAND DISTRICT,Kapit,Sarawak,1530
PEKAN JERTIH,Besut,Terengganu,709
PEKAN TEROI,Yan,Kedah,1645
MUKIM BUNUT SARANG BURONG,Tumpat,Kelantan,3633
MUKIM TELANG,Lipis,Pahang,7213
MUKIM WAKAF BHARU,Tumpat,Kelantan,7138
KAKI WONG TOWN DISTRICT,Saratok,Sarawak,37
PASAI-SIONG LAND DISTRICT,Sibu,Sarawak,15945
BANDAR SEMENYIH,Ulu Langat,Selangor,9403
BANDAR LAPANGAN TERBANG ANTARABANGSA SEPANG,Sepang,Selangor,12856
MENYAN LAND DISTRICT,Kanowit,Sarawak,24250
PEKAN SIMPANG TIGA,Kuala Selangor,Selangor,605
NANGA AP TOWN DISTRICT,Lubok Antu,Sarawak,0
MUKIM CHENG,Melaka Tengah,Malacca,21494
MUKIM PAYA RUMPUT,Melaka Tengah,Malacca,11353
SALAK LAND DISTRICT,Kuching,Sarawak,101352
PEKAN PORT DICKSON,Port Dickson,Negeri Sembilan,14328
BANDAR BANDAR BAHARU,Bandar Baharu,Kedah,8239
PEKAN PEKAN NENAS,Pontian,Johor,1015
LEPU LAJU LAND DISTRICT,Beluru,Sarawak,0
BANDAR BATANG KALI,Ulu Selangor,Selangor,9779
PUEH LAND DISTRICT,Lundu,Sarawak,6638
MUKIM PADANG KERBAU,Pendang,Kedah,9701
MUKIM KAMPONG GAJAH,Perak Tengah,Perak,8566
BANDAR GERIK,Hulu Perak,Perak,2430
TULAI LAND DISTRICT,Maradong,Sarawak,8658
LUNDU TOWN DISTRICT,Lundu,Sarawak,940
PEKAN DAMAR LAUT,Manjung,Perak,61
MUKIM BESTARI JAYA,Kuala Selangor,Selangor,13865
MUKIM ULU MELAKA,Langkawi,Kedah,20238
MUKIM SELEHONG UTARA,Tumpat,Kelantan,4608
PEKAN GURNEY,Manjung,Perak,2290
MUKIM KUALA KLAWANG,Jelebu,Negeri Sembilan,2313
MUKIM PADANG PAK AMAT,Pasir Puteh,Kelantan,8148
MUKIM NYALAS,Jasin,Malacca,9802
MUKIM PENGKALAN HULU,Hulu Perak,Perak,16218
SELEZU LAND DISTRICT,Sebauh,Sarawak,6073
MUKIM SIONG,Baling,Kedah,10199
MUKIM BONGOR,Baling,Kedah,5509
MUKIM HULU BESUT,Besut,Terengganu,4686
MUKIM KENOR,Kuala Krai,Kelantan,15201
MUKIM PEKULA,Kuala Muda,Kedah,6100
MUKIM BELUKAR SEMANG,Hulu Perak,Perak,1642
MUKIM 5,Seberang Perai Utara,Penang,26101
MUKIM 3,Seberang Perai Utara,Penang,24459
MUKIM KENERING,Hulu Perak,Perak,9895
MUKIM MAHANG,Kulim,Kedah,2795
MUKIM HULU SELAMA,Selama,Perak,14560
MUKIM BAKAI,Baling,Kedah,12972
MUKIM KUALA SELAMA,Bandar Baharu,Kedah,3081
PEKAN SELAMA,Bandar Baharu,Kedah,1651
MUKIM BERIAH,Kerian,Perak,14875
MUKIM SELAMA,Selama,Perak,14268
PEKAN MERAPUH,Lipis,Pahang,1316
MUKIM BAGAN SAMAK,Bandar Baharu,Kedah,7600
MUKIM BATU YON,Lipis,Pahang,10211
MUKIM RELAI,Gua Musang,Kelantan,28017
MUKIM BANGGUL,Kemaman,Terengganu,8230
MUKIM KETIL,Gua Musang,Kelantan,11517
MUKIM BAGAN NAKHODA OMAR,Sabak Bernam,Selangor,9395
MUKIM SUNGAI KARANG,Pontian,Johor,67930
MUKIM TERAS,Raub,Pahang,5498
MUKIM KERLING,Ulu Selangor,Selangor,4393
MUKIM HUTAN MELINTANG,Bagan Datuk,Perak,32000
MUKIM HULU BERNAM BARAT,Muallim,Perak,6033
MUKIM HULU JABUR,Kemaman,Terengganu,6883
MUKIM SUNGAI PANJANG,Sabak Bernam,Selangor,6811
MUKIM GLAMI LEMI,Jelebu,Negeri Sembilan,5585
MUKIM KUALA KUANTAN,Kuantan,Pahang,322332
MUKIM ULU TRIANG,Jelebu,Negeri Sembilan,2582
MUKIM ULU SEMENYIH,Ulu Langat,Selangor,4091
MUKIM ENDAU,Rompin,Pahang,11476
MUKIM SEMENYIH,Ulu Langat,Selangor,80217
MUKIM GEMAS,Tampin,Negeri Sembilan,31384
MUKIM PADANG ENDAU,Mersing,Johor,11125
MUKIM TANGKAK,Ledang,Johor,52532
MUKIM AIR KUNING,Tampin,Negeri Sembilan,4005
BANDAR MELAKA,Melaka Tengah,Malacca,76709
MUKIM BUKIT PIATU,Melaka Tengah,Malacca,6863
MUKIM KUNDANG,Ledang,Johor,4146
MUKIM PADANG SEMABOK,Melaka Tengah,Malacca,896
MUKIM PELANGAI,Bentong,Pahang,15172
MUKIM SUNGEI RAMBAI,Jasin,Malacca,9313
MUKIM SABAI,Bentong,Pahang,28858
MUKIM TRIANG ILIR,Jelebu,Negeri Sembilan,4394
MUKIM ULU LANGAT,Ulu Langat,Selangor,65649
MUKIM KENABOI,Jelebu,Negeri Sembilan,1568
MUKIM BENTONG,Bentong,Pahang,68713
MUKIM ULU KELANG,Gombak,Selangor,39588
MUKIM HULU TEMBELING,Jerantut,Pahang,2358
MUKIM PASIR RAJA,Dungun,Terengganu,1701
MUKIM PULAI,Baling,Kedah,511663
MUKIM HULU TERENGGANU,Hulu Terengganu,Terengganu,23
MUKIM HULU JELAI,Lipis,Pahang,20797
MUKIM BLAU,Kecil Lojing,Kelantan,1661
BANDAR BARU BANGI,Ulu Langat,Selangor,89042
PEKAN BATU BERENDAM,Melaka Tengah,Malacca,3267
MUKIM BAGAN DATUK,Bagan Datuk,Perak,14223
MUKIM CHABAU,Jasin,Malacca,5209
PEKAN AYER MOLEK,Melaka Tengah,Malacca,233
MUKIM SEDENAK,Kulaijaya,Johor,23268
BANDAR SEMELING,Kuala Muda,Kedah,12135
MUKIM PADANG CHINA,Kulim,Kedah,2023
MUKIM BATU BURUK,Kuala Terengganu,Terengganu,14530
LALAI LAND DISTRICT,Selangau,Sarawak,0
PEKAN TANAH MERAH UTARA,Port Dickson,Negeri Sembilan,278
KUALA TATAU TOWN DISTRICT,Tatau,Sarawak,34
PEKAN SIMPANG PULAI,Kinta,Perak,113
PEKAN PADANG TENGKU,Lipis,Pahang,1360
MUKIM KUBANG KETAM,Pasir Mas,Kelantan,4410
PEKAN JUNJONG,Kulim,Kedah,1765
PEKAN SIMPANG PERTANG,Jelebu,Negeri Sembilan,892
MUKIM KUALA NAL,Kuala Krai,Kelantan,8226
MUKIM BENDANG NYIOR,Tanah Merah,Kelantan,3769
PEKAN CHANGKAT KERUING,Manjung,Perak,711
MUKIM SELEHONG SELATAN,Tumpat,Kelantan,4784
MAMAU LAND DISTRICT,Belaga,Sarawak,8840
MUKIM JAL,Tumpat,Kelantan,3090
MUKIM KAMBAU,Kota Tinggi,Johor,2153
MUKIM CHERANG MELINTANG,Tumpat,Kelantan,3426
PANGKALAN KUT TOWN DISTRICT,Serian,Sarawak,0
TINJAR LAND DISTRICT,Beluru,Sarawak,3779
MUKIM GETING,Tumpat,Kelantan,7215
MUKIM CHAAH BAHRU,Batu Pahat,Johor,7747
PEKAN BROGA,Seremban,Negeri Sembilan,254
PANGKALAN TEBANG TOWN DISTRICT,Bau,Sarawak,140
MUKIM JUGRA,Kuala Langat,Selangor,6585
PEKAN BUKIT CHANGGANG,Kuala Langat,Selangor,3301
BANDAR SAUJANA,Petaling,Selangor,7283
BALUI LAND DISTRICT,Belaga,Sarawak,2269
MUKIM NGULANG,Perlis,Perlis,3600
MUKIM MERLIMAU,Jasin,Malacca,20759
MUKIM SUNGEI BULOH,Alor Gajah,Malacca,889
KAMUNTING LAND DISTRICT,Marudi,Sarawak,1763
PEKAN CABANG TIGA,Kuala Terengganu,Terengganu,150
PEKAN LUBOK MERBAU,Padang Terap,Kedah,3514
BANDAR ULU BERNAM II,Ulu Selangor,Selangor,475
MUKIM DAMANSARA,Petaling,Selangor,186256
RAJANG TOWN DISTRICT,Tanjung Manis,Sarawak,1324
MUKIM PADANG HANG,Kota Setar,Kedah,4241
MUKIM MERANG,Setiu,Terengganu,3340
MUKIM 8,Seberang Perai Selatan,Penang,27639
MUKIM 9,Seberang Perai Selatan,Penang,65861
SELANJAN LAND DISTRICT,Sri Aman,Sarawak,4744
PEKAN BATU LIMA SIK,Sik,Kedah,5768
PEKAN SEMPANG BEKOH,Jasin,Malacca,266
MUKIM 1,Seberang Perai Selatan,Penang,70016
MUKIM 2,Seberang Perai Utara,Penang,20000
MUKIM 7,Seberang Perai Selatan,Penang,53574
BANDAR SRI DAMANSARA,Petaling,Selangor,31369
MUKIM KAJANG,Ulu Langat,Selangor,57796
MUKIM TELOK MESIRA,Bachok,Kelantan,5057
MUKIM PADANG PAUH,Perlis,Perlis,4463
MUKIM 6,Seberang Perai Utara,Penang,112040
PEKAN GUNUNG PASIR,Kuala Pilah,Negeri Sembilan,39
PEKAN KANCHONG,Kuala Langat,Selangor,811
MUKIM CHOHONG,Jasin,Malacca,801
MUKIM 4,Seberang Perai Selatan,Penang,40042
BANDAR DAMANSARA,Petaling,Selangor,15604
MUKIM BELIMBING,Jeli,Kelantan,9141
MUKIM PEKAN,Pekan,Pahang,26483
MUKIM J,Barat Daya,Penang,1121
PEKAN DEGONG,Hilir Perak,Perak,107
MUKIM I,Barat Daya,Penang,1452
MUKIM BAKONG,Pasir Mas,Kelantan,1624
MUKIM H,Barat Daya,Penang,1155
MUKIM C,Barat Daya,Penang,2844
BANDAR,Labuan,Labuan,9750
PEKAN KLEBANG,Melaka Tengah,Malacca,6857
MUKIM B,Barat Daya,Penang,2172
MUKIM A,Barat Daya,Penang,1861
BANDAR CYBERJAYA,Sepang,Selangor,39088
MUKIM G,Barat Daya,Penang,2890
MUKIM TELUK BARU,Bagan Datuk,Perak,8493
MUKIM APA-APA,Pasir Mas,Kelantan,2956
MUKIM F,Barat Daya,Penang,2883
BANDAR SENGGARANG,Batu Pahat,Johor,1169
MUKIM E,Barat Daya,Penang,2443
MUKIM D,Barat Daya,Penang,2359
BANDAR TANAH RATA,Cameron Highlands,Pahang,2031
BANDAR KAMUNTING,Larut dan Matang,Perak,2637
BANDAR IPOH (U),Kinta,Perak,42831
PEKAN GEMENCHEH BAHRU,Tampin,Negeri Sembilan,2544
MUKIM TENDONG,Pasir Mas,Kelantan,3693
PEKAN BOTA KANAN,Perak Tengah,Perak,501
MUKIM TEBENGAU,Kota Setar,Kedah,4874
MUKIM BUNOHAN,Tumpat,Kelantan,6618
MUKIM SUNGAI ULAR,Kulim,Kedah,9
BALAI RINGIN TOWN DISTRICT,Serian,Sarawak,133
BANDAR KUALA KEDAH,Kota Setar,Kedah,39471
BANDAR BUTTERWORTH,Seberang Perai Utara,Penang,76630
MUKIM TEKAI,Padang Terap,Kedah,18017
PEKAN LUBOK CHINA,Rembau,Negeri Sembilan,267
PEKAN KEPONG,Kuala Lumpur,Kuala Lumpur,748
MUKIM BUKIT TUKU,Pasir Mas,Kelantan,3311
PEKAN DESA RAYA,Ulu Langat,Selangor,286
MUKIM SUNGEI BARU TENGAH,Alor Gajah,Malacca,18858
PEKAN KUALA SANGLANG,Kubang Pasu,Kedah,1325
MUKIM LEBAK,Temerloh,Pahang,1971
PEKAN KAPAR,Klang,Selangor,10959
DEBAK TOWN DISTRICT,Betong,Sarawak,2157
MUKIM CHETOK,Pasir Mas,Kelantan,5302
MUKIM TELOK RENJUNA,Tumpat,Kelantan,2468
MUKIM BAGAN,Batu Pahat,Johor,10382
PEKAN BATAK RABIT,Hilir Perak,Perak,264
BANDAR GUAR CHEMPEDAK,Yan,Kedah,7365
MUKIM BEKOK,Segamat,Johor,4674
MUKIM SUNGAI LAKA,Kubang Pasu,Kedah,6229
PEKAN KERLING,Ulu Selangor,Selangor,204
SUAI LAND DISTRICT,Subis,Sarawak,9874
MUKIM PANGKALAN NANGKA,Besut,Terengganu,4747
PEKAN SUNGAI LESONG,Batang Padang,Perak,350
BANDAR PENGKALAN HULU,Hulu Perak,Perak,299
MUKIM PADANG TEMU,Melaka Tengah,Malacca,5402
PATAH LAND DISTRICT,Telang Usan,Sarawak,3259
MUKIM ALOR PASIR,Pasir Mas,Kelantan,4103
BANDAR YAN,Yan,Kedah,12053
MUKIM LOSONG,Kuala Terengganu,Terengganu,9788
PEKAN JERAM,Kuala Selangor,Selangor,1550
MUKIM KUAU,Bachok,Kelantan,1245
MUKIM HULU PAKA,Dungun,Terengganu,7785
MUKIM LABIS,Segamat,Johor,30195
MUKIM PENGERANG,Kota Tinggi,Johor,14175
MUKIM RAMUAN CHINA KECHIL,Alor Gajah,Malacca,3004
SIBURAN TOWN DISTRICT,Serian,Sarawak,5297
BANDAR TANJONG TOKONG,Timur Laut,Penang,13020
MUKIM ROMPIN,Jempol,Negeri Sembilan,45485
SEMATAN TOWN DISTRICT,Lundu,Sarawak,734
PEKAN PADANG MEHA,Kulim,Kedah,4579
BANDAR SERTING,Jempol,Negeri Sembilan,2846
PEKAN BAGAN TERAP TAMBAHAN,Sabak Bernam,Selangor,616
KABANG LAND DISTRICT,Sibu,Sarawak,2973
PEKAN SIMPANG EMPAT,Bagan Datuk,Perak,565
PEKAN BATU 20,Gombak,Selangor,2342
MUKIM MAKA,Tanah Merah,Kelantan,19386
BANDAR POKOK SENA,Pokok Sena,Kedah,14015
BANDAR BATU ANAM,Segamat,Johor,2581
BANDAR SUBANG JAYA,Petaling,Selangor,44900
MUKIM RUSA,Bachok,Kelantan,4514
MUKIM PANGKAL PISANG,Kota Bharu,Kelantan,3891
MUKIM BUKIT PETERI,Besut,Terengganu,8757
BANDAR AMAN JAYA,Kuala Muda,Kedah,43086
PEKAN SENALING,Kuala Pilah,Negeri Sembilan,244
MUKIM BUKIT PAYUNG,Marang,Terengganu,27916
SADONG LAND DISTRICT,Asajaya,Sarawak,15028
MUKIM TERACHI,Kuala Pilah,Negeri Sembilan,4578
PEKAN KANCHONG DARAT,Kuala Langat,Selangor,430
MENGIONG LAND DISTRICT,Bukit Mabong,Sarawak,926
MUKIM HAU,Kecil Lojing,Kelantan,402
PAKAN TOWN DISTRICT,Pakan,Sarawak,125
RIMBAS LAND DISTRICT,Betong,Sarawak,8131
TRISO LAND DISTRICT,Pusa,Sarawak,3204
MUKIM ATAS TOL,Kuala Terengganu,Terengganu,3291
PEKAN SUNGAI RABA,Kuala Langat,Selangor,396
MUKIM SEMBRONG,Mersing,Johor,1107
MUKIM KELUANG,Besut,Terengganu,10545
BAOH LAND DISTRICT,Dalat,Sarawak,428
MUKIM CHERANG RUKU,Pasir Puteh,Kelantan,12014
JEMORENG LAND DISTRICT,Matu,Sarawak,32164
PEKAN PETALING,Jelebu,Negeri Sembilan,266
PEDANUM LAND DISTRICT,Pakan,Sarawak,12751
PEKAN SRI NANDING,Ulu Langat,Selangor,2254
MUKIM SEMABOK,Melaka Tengah,Malacca,9965
PEKAN KAMPONG KOH,Manjung,Perak,3257
SEBANGAN TOWN DISTRICT,Simunjan,Sarawak,433
BANDAR ALOR GAJAH,Alor Gajah,Malacca,1759
MUKIM KAYANG,Perlis,Perlis,11936
PEKAN PARIT BARU,Sabak Bernam,Selangor,585
32nd MILE(SIMANGGANG ROAD) TOWN DISTRICT,Serian,Sarawak,267
MUKIM TOK BOK,Machang,Kelantan,1943
BUKIT BESAI LAND DISTRICT,Lubok Antu,Sarawak,9420
PEKAN CHENOR,Maran,Pahang,221
PEKAN BUKIT PAYUNG,Marang,Terengganu,438
PEKAN KECHAU TUI,Lipis,Pahang,619
MUKIM TEMIN,Kubang Pasu,Kedah,17071
MUKIM TELOK MAS,Melaka Tengah,Malacca,9046
MARADONG LAND DISTRICT,Maradong,Sarawak,10839
BANGKIT LAND DISTRICT,Song,Sarawak,3466
BANDAR TERAS,Raub,Pahang,97
PEKAN TELEMONG,Bentong,Pahang,589
MUKIM 19,Seberang Perai Tengah,Penang,4416
MUKIM HULU LEPAR,Kuantan,Pahang,20559
MUKIM 17,Seberang Perai Tengah,Penang,7909
MUKIM 18,Seberang Perai Tengah,Penang,20398
BANDAR PASIR MAS,Pasir Mas,Kelantan,9172
MUKIM PULAU BESAR,Tumpat,Kelantan,479
MUKIM 12,Barat Daya,Penang,186173
MUKIM LIPAT KAJANG,Temerloh,Pahang,1542
PEKAN RANTAU PANJANG,Pasir Mas,Kelantan,1911
MUKIM WANG TEPUS,Kubang Pasu,Kedah,1718
MUKIM 10,Seberang Perai Selatan,Penang,28256
MUKIM 11,Seberang Perai Selatan,Penang,102817
MARUDI TOWN DISTRICT,Marudi,Sarawak,2395
MUKIM CHICHA,Kota Bharu,Kelantan,6059
MUKIM PULAU PANJANG,Kota Bharu,Kelantan,2324
MUKIM 16,Seberang Perai Utara,Penang,34161
MUKIM 15,Seberang Perai Selatan,Penang,101611
PEKAN TANJONG DUABELAS,Kuala Langat,Selangor,293
MUKIM 14,Seberang Perai Tengah,Penang,98643
MUKIM LIMAU HANTU,Machang,Kelantan,7260
MUKIM API-API,Pontian,Johor,19687
PEKAN KANDANG,Melaka Tengah,Malacca,159
MUKIM PULAU GAJAH,Kota Bharu,Kelantan,2685
MUKIM 13,Seberang Perai Utara,Penang,230310
LAMBIR LAND DISTRICT,Miri,Sarawak,92321
MUKIM TABOH NANING,Alor Gajah,Malacca,8388
MUKIM PASIR PUTEH,Pasir Puteh,Kelantan,7520
MUKIM TELOK PANGLIMA GARANG,Kuala Langat,Selangor,49799
BANDAR BARU KUBANG KERIAN,Kota Bharu,Kelantan,2544
PEKAN BATU CAVES,Kuala Lumpur,Kuala Lumpur,1538
MUKIM JERANGAU,Dungun,Terengganu,14176
PEKAN TANJONG KLING,Melaka Tengah,Malacca,1505
PEKAN KUALA KLAWANG,Jelebu,Negeri Sembilan,2034
BANDAR MENGLEMBU,Kinta,Perak,1072
PUNAN LAND DISTRICT,Belaga,Sarawak,22564
PEKAN KAMPONG BAHARU,Manjung,Perak,340
MUKIM SUNGKAI,Batang Padang,Perak,31080
MUKIM BOTA,Perak Tengah,Perak,36540
MUKIM PENGADANG BULUH,Kuala Terengganu,Terengganu,15126
MUKIM TELUK KALUNG,Kemaman,Terengganu,15911
PEKAN SHAH BANDAR,Seremban,Negeri Sembilan,1116
PEKAN SUNGAI PENCHALA,Kuala Lumpur,Kuala Lumpur,2925
MUKIM AYER MOLEK,Melaka Tengah,Malacca,12148
PANDAN TOWN DISTRICT,Sebauh,Sarawak,32
MUKIM LABU KUBONG,Hilir Perak,Perak,10430
PEKAN TELOK,Kuala Langat,Selangor,4133
BANDAR TERONOH,Kinta,Perak,727
MUKIM 21,Seberang Perai Tengah,Penang,4847
BANDAR TELUK KEMANG,Port Dickson,Negeri Sembilan,10234
MUKIM 20,Seberang Perai Tengah,Penang,15772
MUKIM PANCHOR,Kota Bharu,Kelantan,18045
LESONG LAND DISTRICT,Sri Aman,Sarawak,2954
PEKAN SUNGAI MAKAU,Ulu Langat,Selangor,2334
PEKAN PASIR PANJANG,Sabak Bernam,Selangor,1049
MUKIM NIYOR,Kluang,Johor,5700
MUKIM NIBONG,Tanah Merah,Kelantan,6443
BANDAR KELIAN INTAN,Hulu Perak,Perak,101
MUKIM MAHANG BARAT,Kota Bharu,Kelantan,10839
MUKIM BUKIT BESAR,Kuala Terengganu,Terengganu,24230
MUKIM DEMIT,Kota Bharu,Kelantan,5734
BANDAR SUNGAI RAYA,Kinta,Perak,90
PEKAN SIMPANG TIGA IJOK,Kuala Selangor,Selangor,6341
MUKIM BETING,Kota Bharu,Kelantan,5627
MUKIM BUDU,Lipis,Pahang,3610
MUKIM KIJAL,Kemaman,Terengganu,11158
MUKIM ULU SAT,Machang,Kelantan,6715
MUKAH LAND DISTRICT,Mukah,Sarawak,25950
MUKIM PERMATANG SUNGKAI,Pasir Puteh,Kelantan,2641
BANDAR MARAN,Maran,Pahang,1088
PEKAN MARANG,Marang,Terengganu,80
MUKIM DUSON RENDAH,Kota Bharu,Kelantan,2707
MUKIM MANEK URAI,Kuala Krai,Kelantan,13093
SPAPA LAND DISTRICT,Selangau,Sarawak,192
MUKIM BATANG PADANG,Batang Padang,Perak,34481
MUKIM ALUR LIMBAT,Marang,Terengganu,21993
SEBLAK LAND DISTRICT,Kabong,Sarawak,6167
KEMENA LAND DISTRICT,Bintulu,Sarawak,182190
BANDAR BAYAN LEPAS,Barat Daya,Penang,159
MUKIM PADANG LEBAN,Kota Bharu,Kelantan,2715
MUKIM RUNGKUP,Bagan Datuk,Perak,9651
PEKAN KERAMBIT,Lipis,Pahang,5
MUKIM PASIR PANJANG,Sabak Bernam,Selangor,22472
SUNGAI PALAH TOWN DISTRICT,Serian,Sarawak,6
MUKIM SAKAR,Pasir Mas,Kelantan,4290
MUKIM TABAR,Tumpat,Kelantan,303
MUKIM AMPANG TINGGI,Kuala Pilah,Negeri Sembilan,7689
MUKIM TENANG,Besut,Terengganu,5390
BANDAR MASJID TANAH,Alor Gajah,Malacca,1304
MUKIM JOHOR LAMA,Kota Tinggi,Johor,9018
PEKAN TANJUNG DAWAI,Kuala Muda,Kedah,2667
MUKIM JUNJONG,Kulim,Kedah,5138
PEKAN BATANG MALAKA,Tampin,Negeri Sembilan,123
BANDAR ANAK BUKIT,Kota Setar,Kedah,18381
DAP TOWN DISTRICT,Kanowit,Sarawak,266
BUKAR-SADONG LAND DISTRICT,Serian,Sarawak,39157
MUKIM JENERI,Sik,Kedah,15575
MUKIM LENDU,Alor Gajah,Malacca,3870
MUKIM JASIN,Jasin,Malacca,18062
MUKIM JERLUN,Kubang Pasu,Kedah,13767
MUKIM PADANG GARONG,Kota Bharu,Kelantan,3141
MUKIM TELOI KANAN,Baling,Kedah,16443
RASAN LAND DISTRICT,Sebauh,Sarawak,6873
MUKIM PULAU BELANGA,Kota Bharu,Kelantan,3165
MUKIM AYER BALOI,Pontian,Johor,12061
PADEH TOWN DISTRICT,Betong,Sarawak,0
MUKIM AUR DURI,Kota Bharu,Kelantan,1463
SILANTEK LAND DISTRICT,Sri Aman,Sarawak,5445
TENGOA-SUKANG LAND DISTRICT,Lawas,Sarawak,1532
SEMAH LAND DISTRICT,Daro,Sarawak,3025
BANDAR SELAYANG,Gombak,Selangor,234186
MUKIM BUKIT SERAMPANG,Ledang,Johor,8856
PEKAN SITIAWAN,Manjung,Perak,4258
MUKIM TEBING TINGGI,Jerantut,Pahang,9377
MUKIM KERASAK,Pasir Mas,Kelantan,915
MUKIM KULAI,Kulaijaya,Johor,167092
MUKIM KUALA TEMBELING,Jerantut,Pahang,2066
17.5 MILE(SIMANGGANG ROAD) TOWN DISTRICT,Serian,Sarawak,16
MUKIM KANDEK,Kuala Krai,Kelantan,989
MUKIM AMPANG PECHAH,Ulu Selangor,Selangor,2191
MUKIM KANDANG,Melaka Tengah,Malacca,5597
