pharmacy_id,name,address,latitude,longitude,source
ChIJM51gLRxX0DERyHdzja2UT6I,Kedai Ubat Eng Soon Heng,"17, Jalan Susur Bukit Mutiara, Taman Bukit Mutiara, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8370801,102.9465051,google_places
ChIJaQ-KK8lt0DERBjlEVaAqPCw,Kedai Ubat Heng Huat 兴发药行酒庄中医诊疗所 居銮药材店 Kluang Tradisional pharmacy/Acupuncture针灸,"121, Jalan Lambak, Kampung Masjid Lama, 86000 Kluang, Johor Darul Ta'zim, Malaysia",2.0251073,103.32156,google_places
ChIJ9f8IN7Zt0DERDa5aF9ZWDZo,Kedai Ubat Hock Heng,"24B (Bawah, Jalan Manggis, Kampung Masjid Lama, 86000 Kluang, Johor Darul Ta'zim, Malaysia",2.0375106,103.3199995,google_places
ChIJWXFvN7Jt0DER3PU-ts-XSJk,Kedai Ubat Hock Heng,"6, Jalan Omar, Kampung Masjid Lama, 86000 Kluang, Johor Darul Ta'zim, Malaysia",2.0377932,103.3170186,google_places
ChIJ2bNrFwx02jERX73dH_HXW6k,Kedai Ubat Hong Seng,"6, Jalan Kebudayaan 16, Taman Universiti, 81300 Skudai, Johor Darul Ta'zim, Malaysia",1.538619,103.629295,google_places
ChIJVaozg2zb0TERgu94dvw7oas,Kedai Ubat Kian Min,"Taman Tangkak Jaya, 84900 Tangkak, Johor, Malaysia",2.2717427,102.5505871,google_places
ChIJdUeJ5lrP0TERVhbuby0eOJs,Kedai Ubat Pin Ann Tong,"Johor, Bukit Gambir 邮政编码:, Bukit Gambir, 84700 Bukit Gambir, Johor Darul Ta'zim, Malaysia",2.2143326,102.6522968,google_places
ChIJoypLuEx42jERy8PuVi-IAuU,Kedai Ubat Ren Ann,"Jalan Gangsa 1, Taman Gunung Pulai, 81000 Kulai, Johor Darul Ta'zim, Malaysia",1.6538543,103.5890846,google_places
ChIJ5c5DUrCf0DERd13UB3-gbdM,Kedai Ubat Ta Ann,"Jalan Sawah, Pekan Nenas, 81500 Pekan Nanas, Johor Darul Ta'zim, Malaysia",1.5088393,103.5111,google_places
ChIJAZVrWQh70DERXxNQMb53lA0,Kedai Ubat Tai Ann Tong,"2, Jln Baru, Rengam, 86300 Renggam, Johor Darul Ta'zim, Malaysia",1.8849186,103.4022714,google_places
